date,precinct,accident_count
2020-04-13,CENTRA,3
2020-04-13,EAST,4
2020-04-13,HERMIT,5
2020-04-13,MADISO,3
2020-04-13,MIDTOW,4
2020-04-13,NORTH,4
2020-04-13,SOUTH,8
2020-04-13,WEST,4
2020-04-14,HERMIT,4
2020-04-14,MADISO,5
2020-04-14,NORTH,5
2020-04-14,SOUTH,4
2020-04-14,WEST,6
2020-04-15,CENTRA,6
2020-04-15,EAST,7
2020-04-15,HERMIT,11
2020-04-15,MADISO,4
2020-04-15,MIDTOW,8
2020-04-15,SOUTH,10
2020-04-15,WEST,5
2020-04-16,CENTRA,2
2020-04-16,EAST,3
2020-04-16,HERMIT,2
2020-04-16,MADISO,3
2020-04-16,MIDTOW,6
2020-04-16,NORTH,5
2020-04-16,SOUTH,6
2020-04-16,WEST,1
2020-04-17,CENTRA,1
2020-04-17,EAST,3
2020-04-17,HERMIT,7
2020-04-17,MADISO,7
2020-04-17,MIDTOW,3
2020-04-17,NORTH,4
2020-04-17,SOUTH,11
2020-04-17,WEST,3
2020-04-18,CENTRA,2
2020-04-18,EAST,4
2020-04-18,HERMIT,5
2020-04-18,MADISO,3
2020-04-18,MIDTOW,1
2020-04-18,NORTH,2
2020-04-18,SOUTH,9
2020-04-18,WEST,6
2020-04-19,CENTRA,2
2020-04-19,EAST,2
2020-04-19,HERMIT,14
2020-04-19,MADISO,3
2020-04-19,MIDTOW,1
2020-04-19,NORTH,9
2020-04-19,SOUTH,14
2020-04-19,WEST,3
2020-04-20,CENTRA,1
2020-04-20,EAST,6
2020-04-20,HERMIT,10
2020-04-20,MADISO,5
2020-04-20,MIDTOW,3
2020-04-20,NORTH,7
2020-04-20,SOUTH,9
2020-04-20,WEST,4
2020-04-21,CENTRA,4
2020-04-21,EAST,6
2020-04-21,HERMIT,6
2020-04-21,MADISO,5
2020-04-21,MIDTOW,2
2020-04-21,NORTH,5
2020-04-21,SOUTH,9
2020-04-21,WEST,4
2020-04-22,CENTRA,2
2020-04-22,EAST,1
2020-04-22,HERMIT,5
2020-04-22,MADISO,7
2020-04-22,MIDTOW,4
2020-04-22,NORTH,5
2020-04-22,SOUTH,8
2020-04-22,WEST,7
2020-04-23,CENTRA,1
2020-04-23,EAST,7
2020-04-23,HERMIT,13
2020-04-23,MADISO,1
2020-04-23,MIDTOW,6
2020-04-23,NORTH,10
2020-04-23,SOUTH,11
2020-04-23,WEST,1
2020-04-24,CENTRA,2
2020-04-24,EAST,7
2020-04-24,HERMIT,11
2020-04-24,MADISO,6
2020-04-24,MIDTOW,8
2020-04-24,NORTH,3
2020-04-24,SOUTH,12
2020-04-24,WEST,4
2020-04-25,CENTRA,2
2020-04-25,EAST,2
2020-04-25,HERMIT,11
2020-04-25,MADISO,5
2020-04-25,MIDTOW,5
2020-04-25,NORTH,12
2020-04-25,SOUTH,9
2020-04-25,WEST,5
2020-04-26,EAST,1
2020-04-26,HERMIT,6
2020-04-26,MADISO,4
2020-04-26,MIDTOW,3
2020-04-26,NORTH,1
2020-04-26,SOUTH,5
2020-04-26,WEST,3
2020-04-27,CENTRA,2
2020-04-27,EAST,8
2020-04-27,HERMIT,9
2020-04-27,MADISO,5
2020-04-27,MIDTOW,2
2020-04-27,NORTH,6
2020-04-27,SOUTH,17
2020-04-27,WEST,2
2020-04-28,CENTRA,2
2020-04-28,EAST,4
2020-04-28,HERMIT,10
2020-04-28,MADISO,6
2020-04-28,MIDTOW,9
2020-04-28,NORTH,15
2020-04-28,SOUTH,9
2020-04-28,WEST,3
2020-04-29,CENTRA,1
2020-04-29,EAST,5
2020-04-29,HERMIT,7
2020-04-29,MADISO,3
2020-04-29,MIDTOW,4
2020-04-29,NORTH,7
2020-04-29,SOUTH,10
2020-04-29,WEST,5
2020-04-30,CENTRA,5
2020-04-30,EAST,7
2020-04-30,HERMIT,8
2020-04-30,MADISO,4
2020-04-30,MIDTOW,5
2020-04-30,NORTH,1
2020-04-30,SOUTH,4
2020-04-30,WEST,2
2020-05-01,CENTRA,1
2020-05-01,EAST,4
2020-05-01,HERMIT,7
2020-05-01,MADISO,5
2020-05-01,MIDTOW,5
2020-05-01,NORTH,7
2020-05-01,SOUTH,15
2020-05-01,WEST,7
2020-05-02,EAST,5
2020-05-02,HERMIT,8
2020-05-02,MADISO,10
2020-05-02,MIDTOW,4
2020-05-02,NORTH,6
2020-05-02,SOUTH,17
2020-05-02,WEST,3
2020-05-03,CENTRA,2
2020-05-03,EAST,3
2020-05-03,HERMIT,7
2020-05-03,MADISO,2
